Broker    Stock          Value     Changes   Date and Time
Broker 2        Commodity       684             15              9/12/2022 5:43:45 PM
Broker 4        Commodity       684             15              9/12/2022 5:43:45 PM
Broker 2        Banking         126             15              9/12/2022 5:43:45 PM
Broker 3        Banking         126             15              9/12/2022 5:43:45 PM
Broker 4        Banking         126             15              9/12/2022 5:43:45 PM
Broker 1        Technology      197             15              9/12/2022 5:43:45 PM
Broker 2        Technology      197             15              9/12/2022 5:43:45 PM
Broker 3        Technology      197             15              9/12/2022 5:43:45 PM
Broker 4        Technology      197             15              9/12/2022 5:43:45 PM
Broker 1        Retail          46              16              9/12/2022 5:43:45 PM
Broker 4        Retail          46              16              9/12/2022 5:43:45 PM
Broker 2        Commodity       692             16              9/12/2022 5:43:45 PM
Broker 4        Commodity       692             16              9/12/2022 5:43:45 PM
Broker 2        Banking         128             16              9/12/2022 5:43:45 PM
Broker 3        Banking         128             16              9/12/2022 5:43:45 PM
Broker 4        Banking         128             16              9/12/2022 5:43:45 PM
Broker 1        Technology      201             16              9/12/2022 5:43:45 PM
Broker 2        Technology      201             16              9/12/2022 5:43:45 PM
Broker 3        Technology      201             16              9/12/2022 5:43:45 PM
Broker 4        Technology      201             16              9/12/2022 5:43:45 PM
Broker 1        Retail          47              17              9/12/2022 5:43:46 PM
Broker 4        Retail          47              17              9/12/2022 5:43:46 PM
Broker 2        Commodity       710             17              9/12/2022 5:43:46 PM
Broker 4        Commodity       710             17              9/12/2022 5:43:46 PM
Broker 2        Banking         131             17              9/12/2022 5:43:46 PM
Broker 3        Banking         131             17              9/12/2022 5:43:46 PM
Broker 4        Banking         131             17              9/12/2022 5:43:46 PM
Broker 1        Technology      204             17              9/12/2022 5:43:46 PM
Broker 2        Technology      204             17              9/12/2022 5:43:46 PM
Broker 3        Technology      204             17              9/12/2022 5:43:46 PM
Broker 4        Technology      204             17              9/12/2022 5:43:46 PM
Broker 1        Retail          48              18              9/12/2022 5:43:46 PM
Broker 4        Retail          48              18              9/12/2022 5:43:46 PM
